actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.1969052106142044
0.15276455879211426,0.19562597572803497
0.15529286861419678,0.19446103274822235
0.15776026248931885,0.1934373825788498
0.1601690798997879,0.1922100931406021
0.15519747138023376,0.190936878323555
0.1531791090965271,0.18987701833248138
0.1467219442129135,0.1885605901479721
0.13588865101337433,0.1872718632221222
0.12945690751075745,0.18598230183124542
0.11864502727985382,0.1839248239994049
0.0841178223490715,0.1811879575252533
0.06923216581344604,0.17998556792736053
0.05006934329867363,0.17816360294818878
0.026684356853365898,0.17627598345279694
0.003488851711153984,0.17394499480724335
0.0,0.17197927832603455
0.0,0.1695004105567932
0.0,0.1669744998216629
0.0,0.14485347270965576
0.0,0.15831926465034485
0.0,0.1555420458316803
0.0,0.15135015547275543
0.0,0.1494627743959427
0.0,0.1432739943265915
0.0,0.14132189750671387
0.0,0.13788121938705444
0.0,0.13364602625370026
0.0,0.13008610904216766
0.0,0.12617182731628418
0.0,0.12207817286252975
0.0,0.11830717325210571
0.0,0.11461425572633743
0.0,0.10993873327970505
0.0,0.1064610481262207
0.0,0.10194209963083267
0.0,0.0981757864356041
0.0,0.09454191476106644
0.0,0.08887243270874023
0.0,0.08604282885789871
0.0,0.08198609203100204
0.0,0.0779668539762497
0.0,0.07512632757425308
0.0,0.07062031328678131
0.0,0.0634801983833313
0.0,0.06004449725151062
0.0,0.05828826501965523
0.0,0.052991267293691635
0.0,0.05191617086529732
0.0,0.04864318296313286
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.195505291223526
0.0,0.12556113302707672
0.00997406430542469,0.12445010989904404
0.022319070994853973,0.12397044152021408
0.043141577392816544,0.12346851080656052
0.05925390496850014,0.12308044731616974
0.075090691447258,0.1228361576795578
0.09938178211450577,0.12282828986644745
0.11894083023071289,0.12290311604738235
0.1294858455657959,0.12302999943494797
0.15294551849365234,0.1234017014503479
0.1629919409751892,0.12381564825773239
0.17725719511508942,0.12424999475479126
0.19132819771766663,0.12482304871082306
0.20085477828979492,0.1254531294107437
0.20590564608573914,0.12605538964271545
0.2109055519104004,0.12668228149414062
0.22021591663360596,0.12764783203601837
0.2207016497850418,0.12843094766139984
0.22556547820568085,0.12879446148872375
0.2260282337665558,0.12947438657283783
0.22215233743190765,0.1300811618566513
0.21835651993751526,0.13066419959068298
0.20591920614242554,0.13110649585723877
0.1858556866645813,0.13188397884368896
0.17391927540302277,0.13205793499946594
0.1577950268983841,0.1319214105606079
0.13753558695316315,0.1319582611322403
0.11754992604255676,0.13143882155418396
0.09782540798187256,0.13114315271377563
0.07399089634418488,0.1306420862674713
0.04609508067369461,0.12956513464450836
0.018543172627687454,0.1288147121667862
3.7017241993453354e-05,0.12753607332706451
0.0,0.12647773325443268
0.0,0.12324663251638412
0.0,0.12225590646266937
0.0,0.11997146159410477
0.0,0.11778690665960312
0.0,0.11506069451570511
0.0,0.11231626570224762
0.0,0.10927263647317886
0.0,0.10619403421878815
0.0,0.10301266610622406
0.0,0.09947854280471802
0.0,0.09566599130630493
0.0,0.09192372858524323
0.0,0.0879906490445137
0.0,0.0841086134314537
0.0,0.07977446168661118
0.0,0.07584915310144424
0.0,0.07158242166042328
0.0,0.06784266233444214
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.20000000298023224
0.0,0.11832696199417114
0.0,0.11638503521680832
0.0,0.11462774872779846
0.0,0.11304745078086853
0.0,0.11154203861951828
0.0,0.11007770895957947
0.0,0.10899847745895386
0.0,0.1079016700387001
0.0,0.10702887177467346
0.0,0.10628056526184082
0.0,0.10550316423177719
0.0,0.10486217588186264
0.0,0.10429177433252335
0.0,0.10385773330926895
0.0,0.1034882664680481
0.004526791628450155,0.10315045714378357
0.014730039983987808,0.1029643639922142
0.024763567373156548,0.10281527042388916
0.030275912955403328,0.1027020514011383
0.031334370374679565,0.10257026553153992
0.036721475422382355,0.10250453650951385
0.037659935653209686,0.10239486396312714
0.03857304900884628,0.10232403129339218
0.04817967116832733,0.10237251222133636
0.05328323692083359,0.10244375467300415
0.06266822665929794,0.1025848463177681
0.05884190648794174,0.1026337668299675
0.050709523260593414,0.10258454829454422
0.03832881897687912,0.1024014949798584
0.030473140999674797,0.10223562270402908
0.027074240148067474,0.10206222534179688
0.019349420443177223,0.10175614804029465
0.01607506535947323,0.10155539214611053
0.012827565893530846,0.10125939548015594
0.013964492827653885,0.10103770345449448
0.006347143556922674,0.10078980028629303
0.0031744157895445824,0.10043179988861084
2.2924399672774598e-05,0.10017291456460953
0.0,0.09979864209890366
0.0,0.09927518665790558
0.0,0.09886253625154495
0.0,0.09850652515888214
0.0,0.09781277179718018
0.24316257238388062,0.09740982204675674
0.24158048629760742,0.20000000298023224
0.240006223320961,0.19806571304798126
0.2412363886833191,0.1987229585647583
0.23962022364139557,0.19866161048412323
0.23801171779632568,0.19883829355239868
0.23641033470630646,0.19865882396697998
0.23481501638889313,0.19890111684799194
0.2332252711057663,0.19903086125850677
0.23164063692092896,0.19910790026187897
0.22570110857486725,0.19917839765548706
0.21546685695648193,0.19906708598136902
0.2053537666797638,0.1989351063966751
0.19535592198371887,0.1987113654613495
0.18110856413841248,0.19840271770954132
0.16702581942081451,0.197935551404953
0.15309925377368927,0.19740541279315948
0.13932135701179504,0.19681860506534576
0.12132584303617477,0.1960611790418625
0.10352461785078049,0.19528578221797943
0.08154941350221634,0.19416111707687378
0.06416923552751541,0.19293248653411865
0.03823497146368027,0.19183437526226044
0.012577012181282043,0.19014756381511688
0.0,0.1884172260761261
0.0,0.18663978576660156
0.0,0.18451839685440063
0.0,0.1824033260345459
0.0,0.17989616096019745
0.0,0.17729908227920532
0.0,0.17454038560390472
0.0,0.17167627811431885
0.0,0.16987790167331696
0.0,0.16080214083194733
0.0,0.1619437038898468
0.0,0.15877825021743774
0.0,0.15570101141929626
0.0,0.15184348821640015
0.0,0.14710256457328796
0.0,0.1449766606092453
0.0,0.13886156678199768
0.0,0.13704703748226166
0.0,0.13155831396579742
0.0,0.12869451940059662
0.0,0.12432827055454254
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.19790369272232056
0.0,0.19428643584251404
0.0,0.19258566200733185
0.0,0.1910044252872467
0.0,0.18792420625686646
0.0,0.18517182767391205
0.0,0.1839846521615982
0.0,0.18195730447769165
0.0,0.18005523085594177
0.0,0.17836463451385498
0.0,0.17663562297821045
0.0,0.17500054836273193
0.0,0.17330867052078247
0.0,0.17159965634346008
0.0,0.17028971016407013
0.0,0.16836987435817719
0.0,0.1670437902212143
0.0,0.16520105302333832
0.0,0.16354982554912567
0.0,0.16222408413887024
0.0,0.16077885031700134
0.0,0.15915170311927795
0.09990354627370834,0.1582336276769638
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
0.11734601855278015,0.20000000298023224
0.12169082462787628,0.20000000298023224
0.11719101667404175,0.20000000298023224
0.11269049346446991,0.20000000298023224
0.10382921248674393,0.20000000298023224
